AQW00061705       11565C
USC00023027        8027R
USC00023110        4907Q
USC00023150        5590S
USC00023160        1080S
USC00023190        7984S
USC00023250        3048Q
USC00023303        2637R
USC00023393        8805S
USC00023505        5006R
USC00023596        2008S
USC00023668        6889R
USC00023683        1060R
USC00023828        1408R
USC00023961        2264Q
USC00024053        4213R
USC00024089        3616S
USC00024453        4617S
USC00024586        2653R
USC00024645        5026R
USC00024675        3367R
USC00024686        3180R
USC00024702        8727S
USC00024759        9171R
USC00024761        9028R
USC00024829        8522R
USC00024849        5768R
USC00024977        8168R
USC00025129        2777R
USC00025270        7910C
USC00025412        1786S
USC00025426        6239Q
USC00025512        6275R
USC00025635        5139S
USC00025665        4135R
USC00025700        8061R
USC00025780        1580R
USC00025825        3985Q
USC00025924        4838S
USC00026037        3643R
USC00026119        5020R
USC00026132        7772S
USC00026180        4659S
USC00026190        3494Q
USC00026194        8668Q
USC00026242        3439Q
USC00026250        8851R
USC00026353        4631R
USC00026468        3538S
USC00026471        6993S
USC00026513        8042R
USC00026597        2062R
USC00026601        2323Q
USC00026603        7362Q
USC00026616        3552S
USC00026653        2955R
USC00026716        2942S
USC00026796        3265R
USC00026840        6129R
USC00026865        8600R
USC00027281        6668S
USC00027370        7858R
USC00027390        5634S
USC00027435        3214S
USC00027480        6449R
USC00027488        2997R
USC00027560        5168R
USC00027593        5780R
USC00027619        5510R
USC00027625        5094R
USC00027708        5016R
USC00027716        3210S
USC00027855        2935S
USC00027880        5270R
USC00028012        3106C
USC00028018        3085R
USC00028112        7421R
USC00028162        2139R
USC00028214        7479R
USC00028329        1689S
USC00028348        7429R
USC00028396        8185S
USC00028468        3916R
USC00028499        7839R
USC00028516        7761R
USC00028619        5361S
USC00028641        7972R
USC00028792        4044R
USC00028795        7401R
USC00028796        7176R
USC00028800        6981R
USC00028815        7475S
USC00028817        7424R
USC00028865        5364S
USC00028904        5343R
USC00029114        5206R
USC00029156        2391Q
USC00029158        2835S
USC00029271        3314R
USC00029287        6127S
USC00029309        6311R
USC00029334        4830S
USC00029359        2342S
USC00029376        8779R
USC00029410        2096R
USC00029464        7644Q
USC00029542        4326S
USC00029634        8496S
USC00029645        7189S
USC00029652        8197R
USC00029656        8789R
USC00030064        4803S
USC00030130        4778S
USC00030220        5245R
USC00030240        5551S
USC00030458        4372S
USC00030460        4776R
USC00030536        5338S
USC00030582        5357R
USC00030586        4154R
USC00030618        4460Q
USC00030664        4594Q
USC00030764        4537R
USC00030798        5217S
USC00030806        5099S
USC00030832        4917S
USC00030936        5142R
USC00031102        5103R
USC00031132        4158S
USC00031140        5335R
USC00031152        5447S
USC00031191        5584R
USC00031442        5194R
USC00031455        4751R
USC00031457        4540Q
USC00031459        5033R
USC00031596        5011R
USC00031632        4863S
USC00031730        5358S
USC00031838        5272S
USC00031900        3653S
USC00031948        5177S
USC00031962        5824S
USC00031968        5411R
USC00032148        5617S
USC00032355        6162S
USC00032356        4473R
USC00032366        4672R
USC00032444        4466R
USC00032540        4996S
USC00032794        4472S
USC00032930        4631S
USC00032962        4514R
USC00032978        4676S
USC00033132        4798Q
USC00033242        5553R
USC00033428        5348S
USC00033466        5320S
USC00033544        4531S
USC00033734        4793S
USC00033821        5284S
USC00033862        5433S
USC00033909        4118Q
USC00034106        3891S
USC00034134        5071R
USC00034185        5580R
USC00034528        5029Q
USC00034548        5477S
USC00034562        5218R
USC00034572        4126S
USC00034638        5374S
USC00034666        4257R
USC00034711        5104Q
USC00034756        4567R
USC00034938        4871R
USC00034988        4533S
USC00035018        4479R
USC00035036        4512R
USC00035046        4687R
USC00035079        4751R
USC00035112        5637S
USC00035186        5005S
USC00035200        4919R
USC00035376        5584R
USC00035508        4658R
USC00035512        4771R
USC00035563        4906S
USC00035754        5558R
USC00035820        4524R
USC00035831        4856Q
USC00035866        5562S
USC00035908        5095S
USC00036174        5856Q
USC00036253        5613S
USC00036376        5418R
USC00036403        4231Q
USC00036506        5058S
USC00036562        5219S
USC00036768        5077R
USC00036920        5327S
USC00036928        5032S
USC00037488        4709S
USC00037582        5332S
USC00037712        5275S
USC00038010        4810Q
USC00038052        4957S
USC00038084        4396R
USC00040029        2253R
USC00040136        4914R
USC00040161        1750R
USC00040192        6237R
USC00040212        3405S
USC00040232        4547R
USC00040343        5121S
USC00040379        4638S
USC00040383        4440S
USC00040436        7714R
USC00040444        5436Q
USC00040449        4971R
USC00040521        5915R
USC00040673        3375S
USC00040693        3075R
USC00040738        3450R
USC00040741        1584S
USC00040755        2644Q
USC00040790        2925R
USC00040924        8452R
USC00040931        1032S
USC00040943         480S
USC00040983        8207S
USC00041018        2215R
USC00041048        8386R
USC00041072        1163S
USC00041214        1790R
USC00041244        5441S
USC00041253        4418S
USC00041277        2021S
USC00041312        3877R
USC00041316        2069C
USC00041428        4675S
USC00041476        1749R
USC00041484        5293R
USC00041497        1880S
USC00041534        3203Q
USC00041606        2575R
USC00041614        2295S
USC00041697        2903S
USC00041700        1675R
USC00041715        4544R
USC00041738        7078Q
USC00041754        1983Q
USC00041758        4949R
USC00041806        3303R
USC00041838        4439R
USC00041864        5681S
USC00041912        3457S
USC00041948        4576R
USC00041967        4451R
USC00042012        5203S
USC00042081        3200S
USC00042147        1287S
USC00042214        4830R
USC00042239        2445R
USC00042294        4481S
USC00042319        9996R
USC00042331        3233R
USC00042338        3088R
USC00042402        3382R
USC00042410        8389Q
USC00042456        3633R
USC00042467        1217S
USC00042500        2625S
USC00042506        2274R
USC00042574        2892S
USC00042598        8646S
USC00042640        3802R
USC00042671        1278R
USC00042706        5606R
USC00042709        5514R
USC00042713        8754S
USC00042728        4091R
USC00042771        4554S
USC00042805        5713R
USC00042863        5530R
USC00042934        4335S
USC00042941        4581R
USC00043083        5298R
USC00043113        4873R
USC00043157        2028S
USC00043161        1126R
USC00043191        1719R
USC00043244        3625R
USC00043256        5488R
USC00043261        5166R
USC00043384        3867Q
USC00043392        5221Q
USC00043417        4123R
USC00043463        2664S
USC00043489        9243R
USC00043551        1684S
USC00043573        3057R
USC00043578        3035C
USC00043647        1892R
USC00043669        3005R
USC00043710        5613S
USC00043714        1737R
USC00043747        5137S
USC00043824        2112S
USC00043855        7461S
USC00043875        4127S
USC00043882        3799Q
USC00043896        5526R
USC00043914        3101R
USC00043939        2782S
USC00044025        3457R
USC00044176        1109R
USC00044211        2762S
USC00044223        8280S
USC00044232        4891S
USC00044259        9432R
USC00044278        5663R
USC00044297        9249S
USC00044303        5601Q
USC00044374        1663R
USC00044405        5839Q
USC00044412        3369Q
USC00044500        3419R
USC00044523        4663R
USC00044534        5471Q
USC00044555        3944S
USC00044577        1173R
USC00044647        4605R
USC00044671        2351S
USC00044712        4970R
USC00044713        1690R
USC00044735        5684R
USC00044838        2041S
USC00044881        2067R
USC00044890        5370C
USC00044957        5189R
USC00044997        4108S
USC00045026         994S
USC00045032        4461R
USC00045064        3240R
USC00045118        5208S
USC00045120        5173R
USC00045123        3641S
USC00045233        4885R
USC00045280        1101R
USC00045311        1279S
USC00045360        4095S
USC00045378        3512S
USC00045385        5327R
USC00045449        2288R
USC00045502        8657R
USC00045532        4858S
USC00045679        1296S
USC00045721        5240S
USC00045756        5200R
USC00045790        6370R
USC00045795        2261S
USC00045802        2127R
USC00045853        4357Q
USC00045866        3207R
USC00045892        3981Q
USC00045915        3711R
USC00045933        3020S
USC00045968        2910Q
USC00046006        3774R
USC00046074        3776S
USC00046136        3243S
USC00046144        3725S
USC00046154        3976R
USC00046161        5542R
USC00046168        5472R
USC00046172        4317R
USC00046174        4938R
USC00046175        4347R
USC00046252        3888Q
USC00046263        5738R
USC00046336        3436R
USC00046370        3042Q
USC00046377        3698R
USC00046386        9486Q
USC00046399        4252R
USC00046498        1232R
USC00046506        4813S
USC00046508        3464R
USC00046521        4773R
USC00046569        4094R
USC00046572        4100R
USC00046599        3137R
USC00046610        2818R
USC00046624        5332S
USC00046635        9043S
USC00046646        3349R
USC00046657        3414S
USC00046685        4592S
USC00046699        8372S
USC00046719        6217R
USC00046730        3770S
USC00046773        5291R
USC00046826        3268S
USC00046926        3010R
USC00046943        2604R
USC00046960        4240R
USC00046962        4474R
USC00047050        5541R
USC00047077        5898R
USC00047085        1481S
USC00047109        3563S
USC00047150        3250S
USC00047195        2242R
USC00047228        4324R
USC00047253        5089S
USC00047306        5551S
USC00047339        3612R
USC00047404        2825S
USC00047414        3237R
USC00047470        6162R
USC00047473        5712R
USC00047641         758R
USC00047643        4061S
USC00047668        2810R
USC00047689        3809R
USC00047723        6102R
USC00047741        4230Q
USC00047767        2027R
USC00047785        5608R
USC00047807        1867R
USC00047813        5416R
USC00047821        4013S
USC00047836        5072Q
USC00047846        5027R
USC00047851        3399S
USC00047874        5401R
USC00047880        3321R
USC00047888        5693S
USC00047902        4286R
USC00047916        3319S
USC00047953        4237S
USC00047957        4345R
USC00047965        3574S
USC00048025        3123Q
USC00048045        2570S
USC00048135        5037S
USC00048163        2396R
USC00048200        7346Q
USC00048207        2479R
USC00048218        1645Q
USC00048273        2754R
USC00048351        3566S
USC00048353        3438R
USC00048380        1709R
USC00048490        2653Q
USC00048560        4794R
USC00048587        4163R
USC00048606        2305S
USC00048655        5463R
USC00048702        2437R
USC00048713        4303R
USC00048752        5461R
USC00048758        1079S
USC00048826        2997R
USC00048829        3078Q
USC00048873        1441R
USC00048904        4689Q
USC00048917        4840S
USC00048928        3455R
USC00048999        4375Q
USC00049001        4971R
USC00049026        3008R
USC00049035        6895R
USC00049043        1153S
USC00049053        1708R
USC00049073        4977R
USC00049087        4758R
USC00049099        7153R
USC00049102        7609Q
USC00049105         755R
USC00049111        3345R
USC00049122        3697S
USC00049152        5047S
USC00049200        4969S
USC00049325        5058R
USC00049351        1390Q
USC00049367        5211S
USC00049378        4814R
USC00049440        3675R
USC00049452        5542R
USC00049473        2848S
USC00049490        3041R
USC00049621        4923R
USC00049671        4477R
USC00049684        1936S
USC00049694        3460Q
USC00049699        4908R
USC00049742        5231C
USC00049781        4979R
USC00049785        5403Q
USC00049792        3729R
USC00049822        2021R
USC00049847        5563Q
USC00049855        3070R
USC00049859        3639Q
USC00049866        2691S
USC00050109        2862R
USC00050128        1315Q
USC00050185         784R
USC00050214        2131S
USC00050263         596S
USC00050301        2892R
USC00050306        3081Q
USC00050372        1288S
USC00050454         995S
USC00050754        1568Q
USC00050776        1515R
USC00050797        1428R
USC00050825         275Q
USC00050834        3177R
USC00050848        2809S
USC00050945        2443S
USC00050950        2802S
USC00051017        1473R
USC00051018        2340Q
USC00051060        1760R
USC00051071        1566R
USC00051121        3045R
USC00051179        2776S
USC00051186         591S
USC00051268        3866S
USC00051294        2943R
USC00051401        2395R
USC00051440        2493R
USC00051443        2415R
USC00051458        1372S
USC00051528        1965S
USC00051539        3280R
USC00051547        2714R
USC00051564        3306S
USC00051609        1318S
USC00051620        2768Q
USC00051660         170R
USC00051681         874R
USC00051713        1082S
USC00051741        2293R
USC00051743        2320R
USC00051772        3684R
USC00051886        2635S
USC00051932        1770R
USC00051939         859R
USC00051948         765Q
USC00051959         519S
USC00051964        1467R
USC00051977        1108Q
USC00051996        3036R
USC00052184        1048S
USC00052192        2825R
USC00052196        2964R
USC00052223        3232R
USC00052281         477S
USC00052286        2696S
USC00052342        2445Q
USC00052432        2245R
USC00052441        1943R
USC00052446        3304R
USC00052631        2191R
USC00052759        1360R
USC00052761        1289Q
USC00052790        1441S
USC00052816         601Q
USC00052932        2835R
USC00052947        2842R
USC00052965         767R
USC00053005        2655S
USC00053006        2524R
USC00053016        1443R
USC00053038        2715R
USC00053116         481R
USC00053146        3089R
USC00053246        3577R
USC00053258        2596Q
USC00053261        1020R
USC00053307        2255R
USC00053359        2183R
USC00053387        1653Q
USC00053446         487Q
USC00053489        3671S
USC00053496         620C
USC00053500         747S
USC00053530         841S
USC00053541        1615S
USC00053553        3339S
USC00053592         975R
USC00053629        1423Q
USC00053662         928R
USC00053867        1825C
USC00053951         713R
USC00054054         868R
USC00054076        3567R
USC00054082        2727S
USC00054135         652R
USC00054172        2539R
USC00054242        2933R
USC00054250        2109R
USC00054254        1993Q
USC00054380        2989R
USC00054388        3749R
USC00054413        3120R
USC00054444        2852R
USC00054452        2910R
USC00054538        3299R
USC00054546        3270R
USC00054603        3080R
USC00054606        3042R
USC00054664        1109R
USC00054724        3747R
USC00054726        3661S
USC00054734         988R
USC00054742         966S
USC00054762        2896S
USC00054770        3654S
USC00054834        3801S
USC00054934        1268S
USC00054945        2844S
USC00055025        2683R
USC00055056        2627R
USC00055116        2508R
USC00055236        2342R
USC00055322        1481S
USC00055327        1546R
USC00055402        2751R
USC00055414         713R
USC00055422        2441R
USC00055427        2323R
USC00055446        1646R
USC00055484        1392R
USC00055507         916R
USC00055531        2453S
USC00055706        1182R
USC00055722        2625S
USC00055734        1859R
USC00055797         283R
USC00055922        2578R
USC00055934        1742R
USC00055970        1951R
USC00055984        3159R
USC00056012        1912S
USC00056023        2442R
USC00056040        1081Q
USC00056131        3242R
USC00056136        3225R
USC00056203        1440R
USC00056205        1591Q
USC00056258        1443R
USC00056259        1629Q
USC00056266        3538S
USC00056306        2796S
USC00056318        2875R
USC00056320        2854Q
USC00056323        2371R
USC00056326        2724R
USC00056520        1760Q
USC00056765        3544R
USC00056816        2682R
USC00056832        2584S
USC00056970        1019R
USC00056977         877R
USC00057017         639R
USC00057020        1390R
USC00057031        2594R
USC00057050         597R
USC00057167        3653S
USC00057249        2443R
USC00057287        2346R
USC00057296        1138R
USC00057309         714R
USC00057317        2059R
USC00057337        1439R
USC00057370        1690R
USC00057430        1671R
USC00057450         414Q
USC00057515        2777S
USC00057519        2789Q
USC00057557        2555R
USC00057560        2627R
USC00057572        1729R
USC00057582        3326Q
USC00057656         453R
USC00057848         859R
USC00057866        3449R
USC00057936        1192S
USC00057950        3196R
USC00058008        3054R
USC00058022        2231R
USC00058064         488R
USC00058157        3526S
USC00058184         583R
USC00058204         661S
USC00058290        3493R
USC00058429        2818S
USC00058436        2375R
USC00058501         646R
USC00058560        3565R
USC00058575         717R
USC00058582        1378R
USC00058690        1435R
USC00058756         656S
USC00058781        2712S
USC00058793        3642S
USC00058839        2634S
USC00058860        1162Q
USC00058931        1214R
USC00058995        2547S
USC00059058        2892Q
USC00059060        2811Q
USC00059096         884R
USC00059181         216R
USC00059243        3084R
USC00059265        1050R
USC00059275        2559R
USC00059278        2264Q
USC00059295        3218S
USC00060227        2271R
USC00060808        2982Q
USC00060961        2670R
USC00060973        2663S
USC00061762        3045R
USC00062658        2278R
USC00063207        2953R
USC00063420        2319Q
USC00064488        2445R
USC00064767        3032R
USC00065077        2996R
USC00065445        2087S
USC00065910        2802S
USC00067373        2021R
USC00067958        2371Q
USC00067970        3123R
USC00068138        2514R
USC00069388        2384R
USC00069568        2323R
USC00071200        3468Q
USC00072730        4068S
USC00073570        3756R
USC00073595        3630R
USC00075320        4284S
USC00075915        3759R
USC00076410        3838R
USC00079605        3580S
USC00080228        8114R
USC00080236        7966S
USC00080369        8295S
USC00080414        9935Q
USC00080478        8648S
USC00080598        6673Q
USC00080611        8601R
USC00080737        8562Q
USC00080945        8554R
USC00080992        8667Q
USC00081046        8254R
USC00081163        7610R
USC00081276        8697R
USC00081306        9704R
USC00081544        6747R
USC00081641        8138R
USC00081651        8507Q
USC00081654        8956R
USC00081795       10078P
USC00081858        9238R
USC00081978        7695R
USC00082008        6653R
USC00082046       10028Q
USC00082150        7606Q
USC00082220        6469R
USC00082229        7424R
USC00082298        8644S
USC00082418        9993R
USC00082441        9982R
USC00082850        9366R
USC00082915        7649R
USC00082944        7195S
USC00083020        9380R
USC00083026        7969Q
USC00083137        8022R
USC00083153        8015Q
USC00083163        9327S
USC00083168        9529R
USC00083207        8493R
USC00083322        6982R
USC00083470        6456S
USC00083874        6796S
USC00083909        9489S
USC00083956        6937R
USC00084050        9416Q
USC00084095        9048R
USC00084210        8685R
USC00084289        7507S
USC00084320        9926Q
USC00084366        7445R
USC00084394        6436S
USC00084412        9555Q
USC00084461        9391Q
USC00084625        8013S
USC00084662        8170R
USC00084707        8310R
USC00084731        6984S
USC00084802        8275R
USC00085076        7605S
USC00085099        7309R
USC00085184        9199R
USC00085275        6544S
USC00085359        7974Q
USC00085539        6895S
USC00085667        9422R
USC00085793        5942R
USC00085879        6368R
USC00085880        6445Q
USC00085895        8677R
USC00085973        8582R
USC00086065        8463S
USC00086078        9148R
USC00086129        6146Q
USC00086240        6071R
USC00086315        9421Q
USC00086406        9433R
USC00086414        7860S
USC00086485        8544R
USC00086618        7311R
USC00086657        8356Q
USC00086764        8610Q
USC00086767        7180R
USC00086828        6590Q
USC00086842        7068R
USC00086880        8223R
USC00087020        8634R
USC00087025        7054S
USC00087205        8217S
USC00087228        7542Q
USC00087254        9630R
USC00087261        7822Q
USC00087304        8531Q
USC00087397        8868S
USC00087429        6529R
USC00087760        9815R
USC00087826        7505S
USC00087851        8449S
USC00087982        8344S
USC00088076        6610Q
USC00088368        8252Q
USC00088529        6852R
USC00088565        6818R
USC00088620        9005R
USC00088756        6689Q
USC00088780        9474R
USC00088824        8114S
USC00088841       10049R
USC00088942        8419S
USC00089120        6905R
USC00089176        8438R
USC00089219        8330R
USC00089401        8669S
USC00089430        7782R
USC00089511        9483Q
USC00089566        6288S
USC00089640        6915Q
USC00089707        8760R
USC00090010        5758Q
USC00090140        6308S
USC00090181        4753R
USC00090219        4331R
USC00090236        4339R
USC00090253        5648R
USC00090311        5031S
USC00090406        5998R
USC00090586        6518R
USC00090603        4051Q
USC00090670        6123Q
USC00090969        3511R
USC00090979        6119R
USC00091266        6164S
USC00091340        6999S
USC00091448        5605R
USC00091463        6388Q
USC00091474        4815R
USC00091500        6129R
USC00091640        4498S
USC00091665        5075R
USC00091732        4616S
USC00091863        4590R
USC00091908        4476Q
USC00091965        3992Q
USC00091973        6168R
USC00091982        3579S
USC00092006        3622Q
USC00092153        6482R
USC00092159        5769R
USC00092180        4652S
USC00092266        5817S
USC00092283        4137S
USC00092318        5132R
USC00092361        5964Q
USC00092408        4292Q
USC00092450        5558S
USC00092475        3725R
USC00092485        4733C
USC00092493        4754R
USC00092517        4725R
USC00092738        6817Q
USC00092783        6234R
USC00092839        5816S
USC00092966        5807S
USC00093060        4229C
USC00093271        5114R
USC00093325        6696R
USC00093386        6149R
USC00093465        7317S
USC00093506        4904R
USC00093538        6754S
USC00093578        5895Q
USC00093621        4548S
USC00093658        5885Q
USC00093754        6281R
USC00093915        5247R
USC00094133        4794S
USC00094138        4955Q
USC00094170        5689R
USC00094204        6229R
USC00094230        3759R
USC00094429        6069R
USC00094594        5927R
USC00094648        4243S
USC00094674        6866R
USC00094676        5883R
USC00094700        5020R
USC00094862        5498Q
USC00094941        4287R
USC00094949        5180R
USC00095061        5987Q
USC00095165        4923Q
USC00095314        5682S
USC00095394        5664R
USC00095401        5999Q
USC00095404        4431Q
USC00095550        5882R
USC00095666        5049R
USC00095811        6337R
USC00095863        5747R
USC00095874        5499S
USC00095882        5574R
USC00095988        4896S
USC00096087        6429R
USC00096093        2832Q
USC00096148        5551R
USC00096219        6072R
USC00096244        6231R
USC00096335        4939R
USC00096838        6124Q
USC00097087        5432S
USC00097171        5952R
USC00097276        6222S
USC00097528        5713Q
USC00097600        5070S
USC00097777        5512S
USC00097808        6686R
USC00097827        2988R
USC00098064        5156S
USC00098436        4518Q
USC00098476        5734R
USC00098496        6181R
USC00098535        5061R
USC00098661        5305S
USC00098666        6576Q
USC00098703        6067R
USC00098740        4644R
USC00098950        4950S
USC00098974        6452Q
USC00099027        5836Q
USC00099124        5688R
USC00099141        5125S
USC00099157        5049S
USC00099186        6251S
USC00099194        5722R
USC00099291        5049S
USC00099466        4823R
USC00099486        4574R
USC00099502        6303R
USC00100010        1903S
USC00100227        2134R
USC00100282        2567Q
USC00100347        1914R
USC00100375        1953R
USC00100448        2714S
USC00100470        1542R
USC00100528        1879Q
USC00100667        1514R
USC00100803        1470R
USC00100915        2237R
USC00101017        2589S
USC00101018        3166Q
USC00101079        1917S
USC00101180        3708R
USC00101195        3484S
USC00101220        2562S
USC00101363        1632S
USC00101380        3258R
USC00101408        2693S
USC00101514        1202R
USC00101551        2507S
USC00101663        2103R
USC00101671        1252S
USC00101831        1381Q
USC00101956        2100R
USC00102159        1876S
USC00102187        2622Q
USC00102246        1352R
USC00102260        1865R
USC00102390         928R
USC00102444        3067R
USC00102575         602R
USC00102577         544Q
USC00102676        1191S
USC00102707        1814S
USC00102845        2663S
USC00102875        1093S
USC00102892        1394R
USC00102942        2776S
USC00103108        1557R
USC00103110        1318R
USC00103143        2195R
USC00103297        1819S
USC00103448        2010S
USC00103554        1428R
USC00103558        1353Q
USC00103631        3050R
USC00103732        1621S
USC00103760        3020S
USC00103771        1782S
USC00103882        1174R
USC00103932        2770R
USC00103940        1756Q
USC00103964        1906R
USC00104140        2386S
USC00104150        1248R
USC00104268        1438R
USC00104295        2370Q
USC00104318        2785Q
USC00104384        1939R
USC00104442        1593S
USC00104455        2182S
USC00104456        1423S
USC00104598        1039R
USC00104670        2689R
USC00104793        2573Q
USC00104831        1849S
USC00104845        1165R
USC00105013        2138R
USC00105015        2391Q
USC00105038        2848R
USC00105143        1961Q
USC00105177        1052R
USC00105275        1588S
USC00105414        1396R
USC00105462        1461R
USC00105563        1979R
USC00105567        2154R
USC00105678        2316R
USC00105685        1464R
USC00105708        1088S
USC00105716        1867R
USC00105897        1580S
USC00105980        2257R
USC00106152        1886S
USC00106174        3006R
USC00106230        1516R
USC00106250        1783R
USC00106305        2889S
USC00106388        1223R
USC00106424        1506S
USC00106542        2352S
USC00106586        2265R
USC00106764        1793R
USC00106844        2828S
USC00106877        2219S
USC00106891        2928S
USC00107040        1620S
USC00107046        1298R
USC00107188        1616R
USC00107208        2502R
USC00107210        2665Q
USC00107264        1842R
USC00107301        1436S
USC00107320        1255S
USC00107346        2125R
USC00107386        1475C
USC00107563        1039R
USC00107644        1837R
USC00107648        2226S
USC00107673        2011S
USC00107689        2041Q
USC00107706        3075R
USC00107808        1760Q
USC00107968        2102R
USC00108022        1490S
USC00108062        1978S
USC00108080        1852S
USC00108137        1702S
USC00108380        2683R
USC00108395        2221R
USC00108412        2002R
USC00108535        1409R
USC00108676         606S
USC00108928        3556S
USC00108937        1648S
USC00109000        1972R
USC00109065        1175R
USC00109293        2756R
USC00109303        2156S
USC00109498        1641R
USC00109560         633R
USC00109638        3063R
USC00109698        2052Q
USC00109846        1255S
USC00109950        1385Q
USC00109951         861R
USC00109963        2395R
USC00110055        4266R
USC00110072        3047S
USC00110137        4399R
USC00110140        3005Q
USC00110187        4190S
USC00110203        2786R
USC00110306        3387R
USC00110338        3170S
USC00110356        3181Q
USC00110442        2721R
USC00110598        3571R
USC00110608        4179R
USC00110764        3380R
USC00110993        4137S
USC00111020        4038R
USC00111160        4152S
USC00111265        4155S
USC00111280        3688R
USC00111290        3925R
USC00111302        3963R
USC00111420        3132R
USC00111436        3824S
USC00111475        3465S
USC00111497        2871S
USC00111550        3385Q
USC00111835        2836R
USC00111836        3301R
USC00112140        3574S
USC00112193        3824S
USC00112223        2944S
USC00112348        2906S
USC00112353        4573R
USC00112483        4198S
USC00112500        3027R
USC00112736        2926R
USC00112745        2659R
USC00112931        3888S
USC00112993        3220R
USC00113106        3874R
USC00113109        4012S
USC00113262        2829S
USC00113290        3180S
USC00113320        3261S
USC00113335        3077S
USC00113369        3175R
USC00113384        3366S
USC00113413        3204R
USC00113455        3436R
USC00113530        3472R
USC00113580        4291R
USC00113612        4091Q
USC00113717        3474R
USC00113879        4212R
USC00113940        3646R
USC00114013        3279R
USC00114078        3876Q
USC00114108        4238S
USC00114198        3565S
USC00114317        3974Q
USC00114400        3822R
