AQW00061705       15214C
USC00029271        6007R
USC00029287        9527S
USC00029309        9708R
USC00029334        7969S
USC00029359        4595S
USC00029376       12368R
USC00029410        4105R
USC00029464       11158Q
USC00029542        6946S
USC00029634       12098S
USC00029645       10654S
USC00029652       11807R
USC00029656       12424R
USC00030064        7549S
USC00030130        7621S
USC00030220        8238R
USC00030240        8611S
USC00030458        7068S
USC00030460        7529R
USC00030536        8253S
USC00030582        8360R
USC00030586        6779R
USC00030618        7187Q
USC00030664        7498Q
USC00030764        7367R
USC00030798        8119S
USC00030806        7905S
USC00030832        7746S
USC00030936        8020R
USC00031102        7994R
USC00031132        6806S
USC00031140        8343R
USC00031152        8481S
USC00031191        8632R
USC00031442        8089R
USC00031455        7541R
USC00031457        7279Q
USC00031459        7883R
USC00031596        7862R
USC00031632        7606S
USC00031730        8390S
USC00031838        8214S
USC00031900        6222S
USC00031948        8139S
USC00031962        8883S
USC00031968        8339R
USC00032148        8694S
USC00032355        9333S
USC00032356        7198R
USC00032366        7423R
USC00032444        7185R
USC00032540        7932S
USC00032794        7175S
USC00032930        7419S
USC00032962        7229R
USC00032978        7458S
USC00033132        7552Q
USC00033242        8531R
USC00033428        8350S
USC00033466        8281S
USC00033544        7332S
USC00033734        7532S
USC00033821        8147S
USC00033862        8441S
USC00033909        6766Q
USC00034106        6436S
USC00034134        7993R
USC00034185        8647R
USC00034528        7868Q
USC00034548        8519S
USC00034562        8151R
USC00034572        6729S
USC00034638        8303S
USC00034666        6975R
USC00034711        7949Q
USC00034756        7385R
USC00034938        7686R
USC00034988        7323S
USC00035018        7226R
USC00035036        7213R
USC00035046        7461R
USC00035079        7642R
USC00035112        8701S
USC00035186        7815S
USC00035200        7761R
USC00035376        8706R
USC00035508        7419R
USC00035512        7553R
USC00035563        7674S
USC00035754        8570R
USC00035820        7204R
USC00035831        7612Q
USC00035866        8609S
USC00035908        8035S
USC00036174        8960Q
USC00036253        8651S
USC00036376        8409R
USC00036403        6831Q
USC00036506        7890S
USC00036562        8145S
USC00036768        8029R
USC00036920        8265S
USC00036928        7889S
USC00037488        7516S
USC00037582        8351S
USC00037712        8172S
USC00038010        7577Q
USC00038052        7768S
USC00038084        7134R
USC00040029        4477R
USC00040136        8457R
USC00040161        3695R
USC00040192        9883R
USC00040212        6523S
USC00040232        7884R
USC00040343        8333S
USC00040379        7725S
USC00040383        7646S
USC00040436       11132R
USC00040444        8766Q
USC00040449        8121R
USC00040521        9210R
USC00040673        6790S
USC00040693        6600R
USC00040738        6295R
USC00040741        3585S
USC00040755        5156Q
USC00040790        6419R
USC00040924       12052R
USC00040931        2714S
USC00040943        1745S
USC00040983       11817S
USC00041018        4400R
USC00041048       12007R
USC00041072        2860S
USC00041214        3746R
USC00041244        8717S
USC00041253        7943S
USC00041277        4114S
USC00041312        7222R
USC00041316        4308C
USC00041428        7944S
USC00041476        3670R
USC00041484        8865R
USC00041497        3846S
USC00041534        6671Q
USC00041606        4904R
USC00041614        4303S
USC00041697        5350S
USC00041700        3571R
USC00041715        7759R
USC00041738       10645Q
USC00041754        4493Q
USC00041758        8593R
USC00041806        6227R
USC00041838        7837R
USC00041864        9048S
USC00041912        6283S
USC00041948        7876R
USC00041967        7919R
USC00042012        8467S
USC00042081        6081S
USC00042147        4387S
USC00042214        8469R
USC00042239        4934R
USC00042294        7767S
USC00042319       13577R
USC00042331        5591R
USC00042338        5661R
USC00042402        6176R
USC00042410       11979Q
USC00042456        6680R
USC00042467        2927S
USC00042500        5114S
USC00042506        4512R
USC00042574        5471S
USC00042598       12250S
USC00042640        6803R
USC00042671        2923R
USC00042706        9233R
USC00042709        9114R
USC00042713       12388S
USC00042728        7295R
USC00042771        7559S
USC00042805        9259R
USC00042863        9155R
USC00042934        7692S
USC00042941        7641R
USC00043083        8637R
USC00043113        8212R
USC00043157        4051S
USC00043161        4197R
USC00043191        5171R
USC00043244        7139R
USC00043256        8854R
USC00043261        8480R
USC00043384        6717Q
USC00043392        8845Q
USC00043417        7570R
USC00043463        5376S
USC00043489       12873R
USC00043551        3658S
USC00043573        5845R
USC00043578        6327C
USC00043647        4739R
USC00043669        5686R
USC00043710        8799S
USC00043714        5185R
USC00043747        8361S
USC00043824        4271S
USC00043855       11014S
USC00043875        7546S
USC00043882        7252Q
USC00043896        9077R
USC00043914        6054R
USC00043939        5251S
USC00044025        6884R
USC00044176        2889R
USC00044211        5464S
USC00044223       11902S
USC00044232        7808S
USC00044259       13070R
USC00044278        8866R
USC00044297       12865S
USC00044303        9236Q
USC00044374        3531R
USC00044405        9232Q
USC00044412        6292Q
USC00044500        6828R
USC00044523        7773R
USC00044534        8776Q
USC00044555        7425S
USC00044577        4019R
USC00044647        8240R
USC00044671        4608S
USC00044712        8330R
USC00044713        3672R
USC00044735        9327R
USC00044838        3994S
USC00044881        4112R
USC00044890        8721C
USC00044957        8539R
USC00044997        7478S
USC00045026        2545S
USC00045032        7790R
USC00045064        6809R
USC00045118        8564S
USC00045120        8522R
USC00045123        7032S
USC00045233        8111R
USC00045280        2702R
USC00045311        3009S
USC00045360        7314S
USC00045378        6759S
USC00045385        8715R
USC00045449        4472R
USC00045502       12280R
USC00045532        8134S
USC00045679        3065S
USC00045721        8365S
USC00045756        8342R
USC00045790       10014R
USC00045795        5775S
USC00045802        5595R
USC00045853        7879Q
USC00045866        6822R
USC00045892        6624Q
USC00045915        6876R
USC00045933        5610S
USC00045968        5533Q
USC00046006        6643R
USC00046074        7184S
USC00046136        5973S
USC00046144        7234S
USC00046154        7177R
USC00046161        9058R
USC00046168        8895R
USC00046172        7462R
USC00046174        8237R
USC00046175        7990R
USC00046252        6817Q
USC00046263        9338R
USC00046336        7005R
USC00046370        6378Q
USC00046377        7321R
USC00046386       13128Q
USC00046399        7754R
USC00046498        4074R
USC00046506        8095S
USC00046508        6463R
USC00046521        8128R
USC00046569        7720R
USC00046572        7723R
USC00046599        6716R
USC00046610        5943R
USC00046624        8594S
USC00046635       12676S
USC00046646        6753R
USC00046657        6149S
USC00046685        7753S
USC00046699       11941S
USC00046719        9853R
USC00046730        7065S
USC00046773        8546R
USC00046826        6644S
USC00046926        5967R
USC00046943        6154R
USC00046960        7382R
USC00046962        7539R
USC00047050        9147R
USC00047077        9312R
USC00047085        3349S
USC00047109        6684S
USC00047150        6207S
USC00047195        4528R
USC00047228        7804R
USC00047253        8148S
USC00047306        9114S
USC00047339        7077R
USC00047404        5783S
USC00047414        6772R
USC00047470        9781R
USC00047473        9313R
USC00047641        2288R
USC00047643        7436S
USC00047668        6314R
USC00047689        6716R
USC00047723        9695R
USC00047741        7871Q
USC00047767        5580R
USC00047785        9234R
USC00047807        5231R
USC00047813        8918R
USC00047821        7507S
USC00047836        8662Q
USC00047846        8369R
USC00047851        6931S
USC00047874        9022R
USC00047880        6722R
USC00047888        9338S
USC00047902        7918R
USC00047916        6879S
USC00047953        7880S
USC00047957        7954R
USC00047965        7019S
USC00048025        5695Q
USC00048045        5984S
USC00048135        8243S
USC00048163        5911R
USC00048200       10816Q
USC00048207        4804R
USC00048218        3641Q
USC00048273        5673R
USC00048351        6891S
USC00048353        6355R
USC00048380        3728R
USC00048490        5596Q
USC00048560        8142R
USC00048587        7210R
USC00048606        4700S
USC00048655        8971R
USC00048702        4620R
USC00048713        7485R
USC00048752        8823R
USC00048758        2697S
USC00048826        5696R
USC00048829        5790Q
USC00048873        3205R
USC00048904        8279Q
USC00048917        8063S
USC00048928        6279R
USC00048999        7685Q
USC00049001        8355R
USC00049026        5604R
USC00049035       10199R
USC00049043        2804S
USC00049053        3658R
USC00049073        8325R
USC00049087        8361R
USC00049099       10645R
USC00049102       11149Q
USC00049105        2187R
USC00049111        6850R
USC00049122        6938S
USC00049152        8689S
USC00049200        8359S
USC00049325        8239R
USC00049351        3257Q
USC00049367        8524S
USC00049378        8436R
USC00049440        6981R
USC00049452        8850R
USC00049473        6332S
USC00049490        5604R
USC00049621        8082R
USC00049671        7356R
USC00049684        4633S
USC00049694        6456Q
USC00049699        8257R
USC00049742        8608C
USC00049781        8337R
USC00049785        8971Q
USC00049792        7152R
USC00049822        4190R
USC00049847        9198Q
USC00049855        5535R
USC00049859        7007Q
USC00049866        4978S
USC00050109        4998R
USC00050128        3021Q
USC00050185        2178R
USC00050214        4106S
USC00050263        1883S
USC00050301        5089R
USC00050306        5285Q
USC00050372        2975S
USC00050454        2547S
USC00050754        3289Q
USC00050776        3304R
USC00050797        3116R
USC00050825        1276Q
USC00050834        5400R
USC00050848        5155S
USC00050945        4418S
USC00050950        4976S
USC00051017        3125R
USC00051018        4258Q
USC00051060        3597R
USC00051071        3359R
USC00051121        5239R
USC00051179        4917S
USC00051186        1910S
USC00051268        6357S
USC00051294        5286R
USC00051401        4558R
USC00051440        4555R
USC00051443        4416R
USC00051458        3144S
USC00051528        3960S
USC00051539        5549R
USC00051547        4940R
USC00051564        5612S
USC00051609        3028S
USC00051620        4872Q
USC00051660        1063R
USC00051681        2297R
USC00051713        2632S
USC00051741        4281R
USC00051743        4302R
USC00051772        5975R
USC00051886        4764S
USC00051932        3545R
USC00051939        2444R
USC00051948        2193Q
USC00051959        1786S
USC00051964        3218R
USC00051977        2679Q
USC00051996        5199R
USC00052184        2676S
USC00052192        4974R
USC00052196        5160R
USC00052223        5523R
USC00052281        1710S
USC00052286        4708S
USC00052342        4477Q
USC00052432        4286R
USC00052441        3928R
USC00052446        5552R
USC00052631        4211R
USC00052759        3182R
USC00052761        2913Q
USC00052790        3241S
USC00052816        1930Q
USC00052932        4987R
USC00052947        4924R
USC00052965        2249R
USC00053005        4862S
USC00053006        4612R
USC00053016        3181R
USC00053038        4737R
USC00053116        1777R
USC00053146        5280R
USC00053246        5964R
USC00053258        4688Q
USC00053261        2547R
USC00053307        4202R
USC00053359        4171R
USC00053387        3533Q
USC00053446        1699Q
USC00053489        5986S
USC00053496        1987C
USC00053500        2185S
USC00053530        2333S
USC00053541        3405S
USC00053553        5670S
USC00053592        2472R
USC00053629        3199Q
USC00053662        2427R
USC00053867        3668C
USC00053951        2092R
USC00054054        2325R
USC00054076        5845R
USC00054082        4800S
USC00054135        1923R
USC00054172        4614R
USC00054242        5096R
USC00054250        4062R
USC00054254        3936Q
USC00054380        5181R
USC00054388        6102R
USC00054413        5355R
USC00054444        5057R
USC00054452        5170R
USC00054538        5666R
USC00054546        5702R
USC00054603        5240R
USC00054606        5188R
USC00054664        2675R
USC00054724        6122R
USC00054726        6027S
USC00054734        2581R
USC00054742        2468S
USC00054762        5175S
USC00054770        5971S
USC00054834        6191S
USC00054934        2961S
USC00054945        4975S
USC00055025        4756R
USC00055056        4848R
USC00055116        4574R
USC00055236        4390R
USC00055322        3302S
USC00055327        3363R
USC00055402        4942R
USC00055414        2089R
USC00055422        4395R
USC00055427        4360R
USC00055446        3378R
USC00055484        3071R
USC00055507        2399R
USC00055531        4519S
USC00055706        2865R
USC00055722        4746S
USC00055734        3757R
USC00055797        1311R
USC00055922        4607R
USC00055934        3488R
USC00055970        3846R
USC00055984        5495R
USC00056012        3825S
USC00056023        4439R
USC00056040        2680Q
USC00056131        5437R
USC00056136        5441R
USC00056203        3201R
USC00056205        3380Q
USC00056258        3209R
USC00056259        3466Q
USC00056266        5846S
USC00056306        4971S
USC00056318        5093R
USC00056320        4992Q
USC00056323        4486R
USC00056326        4980R
USC00056520        3577Q
USC00056765        5936R
USC00056816        4862R
USC00056832        4552S
USC00056970        2574R
USC00056977        2422R
USC00057017        2035R
USC00057020        3138R
USC00057031        4708R
USC00057050        1960R
USC00057167        6055S
USC00057249        4566R
USC00057287        4405R
USC00057296        2699R
USC00057309        2141R
USC00057317        4106R
USC00057337        3229R
USC00057370        3551R
USC00057430        3598R
USC00057450        1654Q
USC00057515        4835S
USC00057519        4910Q
USC00057557        4648R
USC00057560        4711R
USC00057572        3656R
USC00057582        5528Q
USC00057656        1694R
USC00057848        2323R
USC00057866        5863R
USC00057936        2791S
USC00057950        5386R
USC00058008        5274R
USC00058022        4271R
USC00058064        1730R
USC00058157        5931S
USC00058184        1919R
USC00058204        2066S
USC00058290        5865R
USC00058429        5166S
USC00058436        4539R
USC00058501        2002R
USC00058560        5896R
USC00058575        2124R
USC00058582        3111R
USC00058690        3113R
USC00058756        1993S
USC00058781        5028S
USC00058793        6044S
USC00058839        4804S
USC00058860        2816Q
USC00058931        2933R
USC00058995        4728S
USC00059058        5033Q
USC00059060        4906Q
USC00059096        2347R
USC00059181        1231R
USC00059243        5272R
USC00059265        2582R
USC00059275        4663R
USC00059278        4289Q
USC00059295        5442S
USC00060227        4249R
USC00060808        5197Q
USC00060961        4789R
USC00060973        4777S
USC00061762        5269R
USC00062658        4257R
USC00063207        5297R
USC00063420        4385Q
USC00064488        4492R
USC00064767        5304R
USC00065077        5261R
USC00065445        3988S
USC00065910        5000S
USC00067373        3961R
USC00067958        4390Q
USC00067970        5434R
USC00068138        4643R
USC00069388        4402R
USC00069568        4316R
USC00071200        5865Q
USC00072730        6701S
USC00073570        6322R
USC00073595        6128R
USC00075320        7013S
USC00075915        6295R
USC00076410        6357R
USC00079605        6029S
USC00080228       11725R
USC00080236       11568S
USC00080369       11905S
USC00080414       13583Q
USC00080478       12277S
USC00080598       10129Q
USC00080611       12234R
USC00080737       12194Q
USC00080945       12178R
USC00080992       12297Q
USC00081046       11861R
USC00081163       11185R
USC00081276       12337R
USC00081306       13352R
USC00081544       10154R
USC00081641       11740R
USC00081651       12138Q
USC00081654       12594R
USC00081795       13727P
USC00081858       12886R
USC00081978       11265R
USC00082008       10109R
USC00082046       13676Q
USC00082150       11191Q
USC00082220        9858R
USC00082229       10993R
USC00082298       12273S
USC00082418       13644R
USC00082441       13632R
USC00082850       13011R
USC00082915       11229R
USC00082944       10723S
USC00083020       13025R
USC00083026       11596Q
USC00083137       11642R
USC00083153       11631Q
USC00083163       12972S
USC00083168       13176R
USC00083207       12120R
USC00083322       10469R
USC00083470        9900S
USC00083874       10310S
USC00083909       13136S
USC00083956       10433R
USC00084050       13062Q
USC00084095       12693R
USC00084210       12319R
USC00084289       11066S
USC00084320       13575Q
USC00084366       11016R
USC00084394        9842S
USC00084412       13203Q
USC00084461       13029Q
USC00084625       11621S
USC00084662       11785R
USC00084707       11919R
USC00084731       10462S
USC00084802       11893R
USC00085076       11176S
USC00085099       10830R
USC00085184       12844R
USC00085275        9964S
USC00085359       11601Q
USC00085539       10344S
USC00085667       13068R
USC00085793        9237R
USC00085879        9764R
USC00085880        9880Q
USC00085895       12309R
USC00085973       12206R
USC00086065       12092S
USC00086078       12788R
USC00086129        9498Q
USC00086240        9415R
USC00086315       13067Q
USC00086406       13076R
USC00086414       11447S
USC00086485       12168R
USC00086618       10843R
USC00086657       11981Q
USC00086764       12245Q
USC00086767       10742R
USC00086828       10021Q
USC00086842       10552R
USC00086880       11842R
USC00087020       12276R
USC00087025       10556S
USC00087205       11833S
USC00087228       11103Q
USC00087254       13267R
USC00087261       11436Q
USC00087304       12164Q
USC00087397       12506S
USC00087429        9975R
USC00087760       13462R
USC00087826       11081S
USC00087851       12067S
USC00087982       11953S
USC00088076       10108Q
USC00088368       11885Q
USC00088529       10353R
USC00088565       10292R
USC00088620       12644R
USC00088756       10124Q
USC00088780       13120R
USC00088824       11727S
USC00088841       13697R
USC00088942       12032S
USC00089120       10423R
USC00089176       12065R
USC00089219       11956R
USC00089401       12286S
USC00089430       11355R
USC00089511       13128Q
USC00089566        9705S
USC00089640       10416Q
USC00089707       12393R
USC00090010        9025Q
USC00090140        9621S
USC00090181        7665R
USC00090219        7154R
USC00090236        7240R
USC00090253        8861R
USC00090311        8074S
USC00090406        9316R
USC00090586        9884R
USC00090603        6861Q
USC00090670        9466Q
USC00090969        6183R
USC00090979        9433R
USC00091266        9474S
USC00091340       10476S
USC00091448        8804R
USC00091463        9819Q
USC00091474        7746R
USC00091500        9450R
USC00091640        7424S
USC00091665        8070R
USC00091732        7504S
USC00091863        7470R
USC00091908        7300Q
USC00091965        6730Q
USC00091973        9493R
USC00091982        6296S
USC00092006        6317Q
USC00092153        9907R
USC00092159        8995R
USC00092180        7582S
USC00092266        9023S
USC00092283        6978S
USC00092318        8162R
USC00092361        9254Q
USC00092408        7136Q
USC00092450        8753S
USC00092475        6482R
USC00092485        7650C
USC00092493        7678R
USC00092517        7687R
USC00092738       10210Q
USC00092783        9552R
USC00092839        9021S
USC00092966        9060S
USC00093060        7033C
USC00093271        8200R
USC00093325       10133R
USC00093386        9468R
USC00093465       10808S
USC00093506        7967R
USC00093538       10209S
USC00093578        9192Q
USC00093621        7488S
USC00093658        9164Q
USC00093754        9625R
USC00093915        8408R
USC00094133        7775S
USC00094138        7978Q
USC00094170        8890R
USC00094204        9568R
USC00094230        6505R
USC00094429        9399R
USC00094594        9180R
USC00094648        7102S
USC00094674       10302R
USC00094676        9181R
USC00094700        8015R
USC00094862        8680Q
USC00094941        7095R
USC00094949        8300R
USC00095061        9279Q
USC00095165        7946Q
USC00095314        8869S
USC00095394        8891R
USC00095401        9306Q
USC00095404        7415Q
USC00095550        9182R
USC00095666        8075R
USC00095811        9676R
USC00095863        8986R
USC00095874        8646S
USC00095882        8765R
USC00095988        7903S
USC00096087        9842R
USC00096093        5400Q
USC00096148        8776R
USC00096219        9427R
USC00096244        9649R
USC00096335        7958R
USC00096838        9489Q
USC00097087        8611S
USC00097171        9273R
USC00097276        9577S
USC00097528        8926Q
USC00097600        8065S
USC00097777        8683S
USC00097808       10135R
USC00097827        5570R
USC00098064        8215S
USC00098436        7411Q
USC00098476        9012R
USC00098496        9500R
USC00098535        8151R
USC00098661        8449S
USC00098666       10025Q
USC00098703        9381R
USC00098740        7598R
USC00098950        7941S
USC00098974        9872Q
USC00099027        9075Q
USC00099124        8899R
USC00099141        8192S
USC00099157        8084S
USC00099186        9588S
USC00099194        8916R
USC00099291        8114S
USC00099466        7819R
USC00099486        7536R
USC00099502        9685R
USC00100010        3717S
USC00100227        4069R
USC00100282        4568Q
USC00100347        3752R
USC00100375        3778R
USC00100448        4814S
USC00100470        3236R
USC00100528        3718Q
USC00100667        3316R
USC00100803        3105R
USC00100915        4181R
USC00101017        4692S
USC00101018        5482Q
USC00101079        3863S
USC00101180        6109R
USC00101195        5989S
USC00101220        4624S
USC00101363        3456S
USC00101380        5601R
USC00101408        4775S
USC00101514        2726R
USC00101551        4639S
USC00101663        3982R
USC00101671        2819S
USC00101831        2953Q
USC00101956        4101R
USC00102159        3744S
USC00102187        4667Q
USC00102246        3060R
USC00102260        3556R
USC00102390        2294R
USC00102444        5469R
USC00102575        1803R
USC00102577        1736Q
USC00102676        2745S
USC00102707        3523S
USC00102845        4897S
USC00102875        2655S
USC00102892        3048R
USC00102942        4988S
USC00103108        3239R
USC00103110        2909R
USC00103143        4209R
USC00103297        3647S
USC00103448        3967S
USC00103554        3076R
USC00103558        3034Q
USC00103631        5321R
USC00103732        3344S
USC00103760        5333S
USC00103771        3710S
USC00103882        2714R
USC00103932        4978R
USC00103940        3525Q
USC00103964        3714R
USC00104140        4398S
USC00104150        2860R
USC00104268        3084R
USC00104295        4408Q
USC00104318        4970Q
USC00104384        3777R
USC00104442        3290S
USC00104455        4090S
USC00104456        3074S
USC00104598        2507R
USC00104670        4765R
USC00104793        4751Q
USC00104831        3722S
USC00104845        2713R
USC00105013        4164R
USC00105015        4465Q
USC00105038        5188R
USC00105143        3822Q
USC00105177        2533R
USC00105275        3237S
USC00105414        3082R
USC00105462        3100R
USC00105563        3923R
USC00105567        4202R
USC00105678        4253R
USC00105685        3131R
USC00105708        2585S
USC00105716        3685R
USC00105897        3328S
USC00105980        4216R
USC00106152        3898S
USC00106174        5180R
USC00106230        3283R
USC00106250        3712R
USC00106305        5138S
USC00106388        2792R
USC00106424        3323S
USC00106542        4452S
USC00106586        4256R
USC00106764        3522R
USC00106844        5040S
USC00106877        4155S
USC00106891        5174S
USC00107040        3305S
USC00107046        2933R
USC00107188        3442R
USC00107208        4490R
USC00107210        4716Q
USC00107264        3731R
USC00107301        3287S
USC00107320        2817S
USC00107346        4042R
USC00107386        3198C
USC00107563        2548R
USC00107644        3634R
USC00107648        4242S
USC00107673        3816S
USC00107689        3951Q
USC00107706        5501R
USC00107808        3583Q
USC00107968        4051R
USC00108022        3156S
USC00108062        3945S
USC00108080        3663S
USC00108137        3553S
USC00108380        4705R
USC00108395        4177R
USC00108412        3759R
USC00108535        3028R
USC00108676        1872S
USC00108928        5951S
USC00108937        3402S
USC00109000        3818R
USC00109065        2694R
USC00109293        4948R
USC00109303        4157S
USC00109498        3433R
USC00109560        1927R
USC00109638        5322R
USC00109698        3988Q
USC00109846        2951S
USC00109950        3064Q
USC00109951        2286R
USC00109963        4417R
USC00110055        6774R
USC00110072        5174S
USC00110137        6947R
USC00110140        5143Q
USC00110187        6802S
USC00110203        4835R
USC00110306        5676R
USC00110338        5333S
USC00110356        5355Q
USC00110442        4762R
USC00110598        5851R
USC00110608        6723R
USC00110764        5617R
USC00110993        6709S
USC00111020        6497R
USC00111160        6654S
USC00111265        6699S
USC00111280        6049R
USC00111290        6356R
USC00111302        6455R
USC00111420        5306R
USC00111436        6238S
USC00111475        5725S
USC00111497        4967S
USC00111550        5618Q
USC00111835        4912R
USC00111836        5518R
USC00112140        5919S
USC00112193        6202S
USC00112223        5009S
USC00112348        4990S
USC00112353        7298R
USC00112483        6768S
USC00112500        5151R
USC00112736        5004R
USC00112745        4667R
USC00112931        6348S
USC00112993        5407R
USC00113106        6289R
USC00113109        6520S
USC00113262        4873S
USC00113290        5325S
USC00113320        5418S
USC00113335        5200S
USC00113369        5351R
USC00113384        5552S
USC00113413        5403R
USC00113455        5668R
USC00113530        5714R
USC00113580        6929R
USC00113612        6597Q
USC00113717        5750R
USC00113879        6776R
USC00113940        5928R
USC00114013        5457R
